|morphs|origin
0|['혀', 'ㄱ', '하']|혁하
1|['오늘', '은', '어쩌', 'ㄴ', '일', '로', '이렇', '게', '일', '찌', 'ㄱ', '왔니']|오늘은 어쩐일로 이렇게 일찍왔니
2|['오늘', '점심', '뭐', '들', '시', '나요']|오늘 점심 뭐드시나요
3|['되', '어', '하']|돼하
4|['세', 'ㄱ']|섹
5|['뭔', '데', '일찍', '일어나', '았', '냐']|뭔데 일찍일어났냐
6|['ㅇ', 'ㅗ', '이', 'ㅇ', 'ㅗ', '이']|오이오이
7|['ㄱ', 'ㅗ', 'ㅇ', '하']|공하
8|['나', '게', '혀', 'ㄱ', '세', 'ㄱ']|나게혁섹
9|['혀', 'ㄱ', '쥬', 'ㅇ', '~', '~', '~']|혁즁~~~
10|['혀', 'ㄱ', '하', '~']|혁하~
11|['혀', 'ㄱ', '주', 'ㄴ', '아', '왜', 'ㄹ', '캐', '일찍', '일어나', '았', '냐']|혁준아 왤캐 일찍일어났냐
12|['남', '들', '은', '다', '여친', '하고', '눈뜨', '면서', '일어나', '는데', '혀', 'ㄱ', '주', 'ㄴ', '아', '!', '!!!']|남들은 다 여친하고 눈뜨면서 일어나는데 혁준아!!!!
13|['허', 'ㄱ', '하']|헉하
14|['안', '뇨', 'ㅇ', '!', '혀', 'ㄱ', '주', '나', 'ㅇ', '!!']|안뇽 ! 혁주낭!!
15|['혀', 'ㄱ', '허']|혁허
16|['혀', 'ㄱ', '하', '~', '~']|혁하~~
17|['혀', 'ㄱ', '주', 'ㄴ', '아', '출근', '20', '분', '남', '았', '다', '.', '.', '가', '기', '싫', '다']|혁준아 출근 20분 남았다.. 가기싫다
18|['ㄱ', 'ㅗ', 'ㅇ', '혀', 'ㄱ', '주', 'ㄴ', '대지']|공혁준 대지
19|['옷', '뭐', 'ㄴ', '데']|옷뭔데
20|['넘', 'ㅗ', '멋지', '어']|너모 멋져
21|['오', '아', '잘생기', 'ㄴ', '거', '보', '아']|와 잘생긴거봐
22|['혀', 'ㄱ', '하', '~', '~']|혁 하~~
23|['혀', 'ㄱ', '하', '!']|혁하!
24|['시', '러', '맨', '을', '알', '시', '나요', '?']|시러맨을 아시나요?
25|['혀', 'ㄱ', '주', 'ㄴ', '아', '머리', '자르', '았', '니', '?', '오늘', '따라', '머리', '가', '참', '예쁘', '구나']|혁준아 머리 잘랐니? 오늘따라 머리가 참 예쁘구나
26|['돼지', '야', '종가', 'ㅇ', '해서', '넘', '.', '죠', '앙']|돼지야 종강해서 넘. 죠앙
27|['잘생기', 'ㄴ', '거', '보', '아라', ';']|잘생긴거봐라;
28|['혀', 'ㄱ', '주', 'ㄴ', '상', '!!']|혁준상!!
29|['안', '뇨', 'ㅇ', '!!', '어제', '택시', '잘', '잡', '았', '어', 'ㅇ', '?', '?']|안뇽!! 어제 택시 잘 잡았엉 ??
30|['살', 'ㄹ', '좀', '빠지', '었', '나', '?']|살 좀 빠졌나?
31|['왤케', '다르', '아', '보이', '지', '?']|왤케 달라보이지?
32|['와', 'ㅁ', '마', '혀', 'ㄱ', '주', 'ㄴ', '이', '잘생기', '었', '다']|왐마 혁준이 잘생겼다
33|['종가', 'ㅇ', '...', '전기', '장파', 'ㄴ', '.', '...', 'ㄱ', 'ㅗ', 'ㅇ', '혀', 'ㄱ', '주', 'ㄴ', '아', '...', '되', 'ㄴ다']|종강... 전기장판....공혁준 아...된다
34|['치명', '적', '이', 'ㄴ', '거', '봇', 'ㅗ']|치명적인거보소
35|['보', 'ㄹ', '살', '빠졌네ㅣ']|볼살 빠졌네ㅣ
36|['혀', 'ㄱ', '주', 'ㄴ', '아', '버', '흑', '보이', '어', '주', '라']|혁준아 버흑보여주라
37|['이새', '이', '기', '표정', '보니', '까', '방금', '인', '나', '았', '네']|이새기 표정보니까 방금인났네
38|['ㄱ', 'ㅗ', 'ㅇ', '혀', 'ㄱ', '주', 'ㄴ', '해명', '하', '아']|공혁준 해명해
39|['혀', 'ㄱ', '주', 'ㄴ', '상', '시', '러', '맨', '프로듀싱했다는데', '해명', '하', '아', '주', '시', '어요']|혁준상 시러맨 프로듀싱했다는데 해명해주세요
40|['ㄱ', 'ㅗ', 'ㅇ', '혀', 'ㄱ', '주', 'ㄴ', '가슴', '걷', '어']|공혁준 가슴걷어
41|['오늘', '일찍', '키', '시', '엇', '네요']|오늘 일찍 키셧네요
42|['해명', '하', '아라', 'ㄱ', 'ㅗ', 'ㅇ', '혀', 'ㄱ', '주', 'ㄴ']|해명해라 공혁준
43|['ㄱ', 'ㅗ', 'ㅇ', '혀', 'ㄱ', '주', 'ㄴ', '윗도리', '씨', '게', '걷', '어']|공혁준 윗도리 씨게 걷어
44|['ㄱ', 'ㅗ', 'ㅇ', '혀', 'ㄱ', '주', 'ㄴ', '조', 'ㅇ', '아리', '걷', '어']|공혁준 종아리 걷어
45|['오늘', '빨리', '키', '시', '었', '네요']|오늘 빨리 키셨네요
46|['방송', '며칠', '간', '날로', '먹', '은', '거', '해명', '하', '아']|방송 며칠간 날로먹은거 해명해
47|['아', '혀', 'ㄱ', '주', 'ㄴ', '아', '나라', 'ㅇ', '같', '은', '만', '투맨', '이', '네', 'ㅋㅋㅋ', '남자', '는', '다', '똑같', '은가', '보', '아', 'ㅋㅋ', 'ㅋㅋ']|아 혁준아 나랑 같은 만투맨이네 ㅋㅋㅋ 남자는 다 똑같은가봐 ㅋㅋㅋㅋ
48|['혀', 'ㄱ', '주', 'ㄴ', '아', '도', '개', '자', '가즈아ㅏㅏㅏㅏ']|혁준아 도개자 가즈아ㅏㅏㅏㅏ
49|['어디', '가', '았', '냐', '혀', 'ㄱ', '주', 'ㄴ', '아']|어디갔냐 혁준아
50|['혀', 'ㄱ', '주', 'ㄴ', '아', '사랑', '하', 'ㄴ다', ',', ',', ',', ',']|혁준아 사랑한다,,,,
51|['어제', '초밥', '먹방', '잘', '보', '았', '다', 'ㄹㅇ']|어제 초밥먹방 잘봤다 ㄹㅇ
52|['나라', 'ㅇ', '결혼', '하', '자']|나랑 결혼하자
53|['펜스', '룰', '실천', '영상', '잘', '보', '았', '다', '혀', 'ㄱ', '주', 'ㄴ', '아']|펜스룰 실천 영상 잘봤다 혁준아
54|['터', 'ㄱ', '주가', '리', '왜', '더', '늘어지', '었', '나요', '?']|턱주가리 왜 더 늘어졌나요?
55|['트', '파', '아', '에서', '우정', '이', 'ㅇ', '이랑', '화해', '하', '았', '냐', '?', '?']|트파에서 우정잉이랑 화해했냐??
56|['잠', '안', '작', 'ㅗ', '왔다', 'ㄱ', 'ㅗ', '또', '일찍', '가', 'ㄹ', '꺼', '지', '?']|잠안자고왔다고 또일찍갈꺼지?
57|['오늘', '피부', '왤케', '안', '좋', '아', '보이', 'ㅁ']|오늘 피부 왤케 안좋아보임
58|['맨날', '안', '좋', '기', 'ㄴ', '하', '았', '는데']|맨날 안좋긴했는데
59|['어제', '피부', '보니', '곧', '가', 'ㄹ', '거', '같', '더라']|어제 피부보니 곧 갈거같더라
60|['혀', 'ㄱ', '주', 'ㄴ', '아', '어제', '트', '파', '아', '에서', '팬티', '까', 'ㄴ', '거', 'ㅇ', 'ㅗ', '지', '더라', 'ㅋㅋ']|혁준아 어제 트파에서 팬티깐거 오지더라 ㅋㅋ
61|['트', '파', '아']|트파
